Año_22,Año_23,Año_24,Año_25,Año_26
196248428.28140274,175960209.11120638,130787100.87857822,259861649.41959932,369854703.32745034
2046446846.6127086,1602277375.1402636,3016245801.272053,2651345906.9837794,2729917365.0921783
722518295.2123613,860433379.6499137,706799953.5182177,667451730.1668454,572188930.4751672
3839921979.330676,3747201342.476512,3780560104.874145,4574463639.106513,2107686388.5174732
279673767.80464077,198365553.14154583,406712200.03082424,358298040.54032975,534817134.9872916
2675165631.3833466,2032419809.5083525,2283106501.3256683,2083122024.9251544,2063950185.9000518
1682634953.7480016,1143531347.4905834,1453662698.3915582,956127162.6173599,1245131802.8713624
4974006437.551673,5922020389.480849,6808829739.970152,2739646452.0610986,4323322291.0858555
136769976.07463717,128803151.50246753,125550440.59357461,145347878.55902752,168011703.33216298
36732908664.46992,31025711344.11794,34384554300.239174,28679533798.73216,33647141786.800716
47849977.3577683,87103597.50738822,60332859.21400134,71870525.30039255,112108043.66652948
681365169.554622,783359921.6029872,851099890.189516,753655597.945355,750513215.2177076
16456563461.308857,16724586573.775982,14935685848.37801,9867057983.175837,9866227401.499058
443551802.86671895,460896462.30098003,489142552.3369514,452230524.94174194,451321275.6286316
1046910213.5247034,3329636909.6180468,3714695301.064497,1870443459.9059887,1766277899.0491745
2461439114.952616,2026662149.0624323,2533853732.4012465,1676297788.6665473,1777253407.5980976
199459264.77083233,-159370871.40570927,448928894.3086024,678648648.055068,349291855.64970934
4060653490.161158,4118864572.1958766,3852562441.5913186,3690440843.914671,3080055097.903924
13784364437.784683,8538933026.994784,10364463248.5267,9222437827.130102,11296506584.298035
4169727546.6042423,3046790720.035594,3326498473.2357264,3923595868.77657,3678847574.144541
1958178352.1214762,1868189233.6271205,1647659327.0244558,1163585702.2431393,1787581728.2849722
28088441705.883076,30054476142.79899,30162542320.637135,26984037527.836754,29477129975.48144
581188969.7350161,393328716.3720072,586674017.8885019,526838353.9599749,508184844.7250959
3700108268.58359,1911818598.9988315,2522004770.997741,4114630140.730933,2535267613.8242536
1909224.238715776,3431096.6700678365,7105505.672401246,-10868963.878054075,10571269.323783262
7590901280.986745,6034533456.336887,6550985013.20604,4854349435.516719,5413304495.016086
10748895208.714294,7819478522.229363,8387209400.036617,7693485816.027102,7774616384.209515
5110311485.337171,6401905072.540618,5375907693.694382,4210207733.868067,3788417275.364684
932997887.7559415,943119513.317507,619561369.1997391,759910060.4569103,884641315.0743945
3276828753.401127,2420927385.726741,2395510489.805052,2619242516.544612,2573281711.7491584
421266926.88749284,570027028.0732784,571282995.0359368,518677846.7713082,412493900.1066224
2591361026.5069485,2985933914.116356,2954768492.3935847,2870504129.4617786,2819260071.4289246
341381698.5210983,225882255.5746996,464356481.2873895,421152322.932758,340074625.4655532
669660578.6180439,548934521.0180719,502247523.53411525,399070657.4190998,733530809.9663994
1782392989.0534163,1008877188.9914614,-342756208.3101289,864140662.3622382,615130022.0684104
339142728.9391559,311666176.756716,592395514.453699,468911949.43119335,509346183.8208446
628661702.7623456,692124772.4714859,610960330.5915469,786344822.1374049,1048097798.6586156
177720400.7209389,195892979.80117399,203066554.83541608,190649872.47561118,235601195.7070144
244297228.82700518,436387004.3130783,343617876.54912394,348106577.08302647,302234804.37297314
928126923.8114516,1097984482.4288368,2194227812.0144844,1463341517.8778965,2138456663.4796565
4765024344.281655,4973255497.941065,7216716208.729219,7836587428.962086,6015078424.666699
2231534780.9377213,589394763.4247606,2047499389.3888717,786120610.831538,1947873408.0112948
3378681609.7689815,2677261757.0429325,1940639507.4659538,2451713775.2825613,2968053096.007331
856788516.3388851,731729322.1370431,752184579.3555279,656511026.6193448,1024955506.1576562
3111720843.8451066,2986823996.568202,2873227779.536064,2883141066.6128764,2519543876.798147
6824826161.088062,5314595559.418885,6726128359.435603,5451799382.67331,3883228986.644842
21462973471.55235,23561824880.59149,23251091921.33174,21363167357.73388,18538039791.306572
4868378567.833392,3603892349.938363,5621757358.293769,8225989948.423154,7483440447.276258
1397555323.6410396,1626507775.5798478,1663682656.1478066,1886693233.3913803,1973624770.3702884
